SCL,WVP,B12,B11,B09,B8A,B08,B07,B06,B05,B04,B03,B02,B01,AOT
,,2190,1610,945,865,842,783,740,705,665,560,490,443,550
6.00000,2161.00000,48.00000,84.00000,431.00000,499.00000,841.00000,743.00000,738.00000,1035.00000,557.00000,907.00000,514.00000,406.00000,116.00000
6.00000,2161.00000,44.00000,85.00000,206.00000,552.00000,687.00000,815.00000,816.00000,1057.00000,592.00000,932.00000,590.00000,513.00000,116.00000
6.00000,2161.00000,61.00000,118.00000,419.00000,785.00000,867.00000,1144.00000,1131.00000,1138.00000,532.00000,914.00000,523.00000,386.00000,116.00000
6.00000,2161.00000,84.00000,229.00000,2075.00000,1605.00000,1338.00000,1771.00000,1655.00000,1222.00000,688.00000,1026.00000,590.00000,299.00000,116.00000
4.00000,4178.00000,121.00000,413.00000,2059.00000,4043.00000,4680.00000,4370.00000,4365.00000,1921.00000,494.00000,1148.00000,466.00000,341.00000,116.00000
4.00000,4171.00000,109.00000,351.00000,2059.00000,3304.00000,4284.00000,3626.00000,3928.00000,1811.00000,488.00000,1122.00000,466.00000,341.00000,116.00000
6.00000,2161.00000,53.00000,126.00000,884.00000,854.00000,1204.00000,1134.00000,1067.00000,1129.00000,485.00000,913.00000,471.00000,365.00000,116.00000
6.00000,2161.00000,65.00000,193.00000,537.00000,1553.00000,1898.00000,1821.00000,1813.00000,1305.00000,473.00000,974.00000,464.00000,398.00000,116.00000
6.00000,2161.00000,71.00000,215.00000,384.00000,1468.00000,1774.00000,1656.00000,1852.00000,1344.00000,519.00000,1009.00000,506.00000,461.00000,116.00000
6.00000,2161.00000,56.00000,130.00000,1453.00000,1059.00000,1306.00000,1429.00000,1346.00000,1181.00000,454.00000,848.00000,428.00000,336.00000,116.00000
4.00000,4149.00000,140.00000,478.00000,1678.00000,5082.00000,5372.00000,5346.00000,5053.00000,1917.00000,454.00000,1070.00000,440.00000,401.00000,116.00000
4.00000,4190.00000,140.00000,492.00000,3025.00000,4878.00000,5172.00000,5367.00000,4861.00000,1958.00000,453.00000,1070.00000,451.00000,353.00000,116.00000
4.00000,4037.00000,132.00000,454.00000,3406.00000,4430.00000,4776.00000,4866.00000,4429.00000,1866.00000,440.00000,1046.00000,438.00000,316.00000,116.00000
4.00000,3430.00000,92.00000,340.00000,3936.00000,3819.00000,4584.00000,4051.00000,3895.00000,1695.00000,445.00000,1036.00000,455.00000,327.00000,116.00000
4.00000,4006.00000,69.00000,194.00000,370.00000,2049.00000,3130.00000,2505.00000,2407.00000,1461.00000,432.00000,930.00000,412.00000,404.00000,116.00000
4.00000,3402.00000,79.00000,255.00000,2369.00000,2356.00000,3082.00000,2750.00000,2550.00000,1531.00000,431.00000,985.00000,425.00000,295.00000,116.00000
4.00000,3832.00000,91.00000,304.00000,1997.00000,3200.00000,3286.00000,3604.00000,3573.00000,1685.00000,411.00000,968.00000,415.00000,316.00000,116.00000
6.00000,2161.00000,54.00000,126.00000,628.00000,1427.00000,1704.00000,1756.00000,1722.00000,1215.00000,448.00000,855.00000,430.00000,368.00000,116.00000
4.00000,2161.00000,52.00000,138.00000,739.00000,1748.00000,1318.00000,2197.00000,2070.00000,1300.00000,430.00000,824.00000,436.00000,336.00000,116.00000
6.00000,2161.00000,53.00000,106.00000,335.00000,902.00000,1114.00000,1245.00000,1223.00000,1151.00000,454.00000,842.00000,451.00000,412.00000,116.00000
4.00000,3686.00000,113.00000,383.00000,3009.00000,3596.00000,3706.00000,4194.00000,3887.00000,1853.00000,428.00000,1001.00000,424.00000,291.00000,116.00000
4.00000,3816.00000,87.00000,266.00000,1597.00000,3098.00000,3162.00000,3350.00000,3448.00000,1656.00000,428.00000,978.00000,412.00000,325.00000,116.00000
4.00000,2161.00000,54.00000,134.00000,577.00000,1858.00000,1946.00000,1948.00000,2086.00000,1282.00000,440.00000,838.00000,431.00000,413.00000,116.00000
6.00000,2161.00000,42.00000,108.00000,426.00000,1265.00000,1404.00000,1582.00000,1553.00000,1197.00000,453.00000,854.00000,438.00000,390.00000,116.00000
4.00000,2161.00000,71.00000,220.00000,671.00000,2362.00000,1340.00000,2755.00000,2693.00000,1539.00000,450.00000,872.00000,456.00000,386.00000,116.00000
6.00000,2161.00000,54.00000,121.00000,407.00000,1294.00000,1104.00000,1662.00000,1602.00000,1228.00000,483.00000,880.00000,482.00000,421.00000,116.00000
6.00000,2161.00000,44.00000,78.00000,315.00000,542.00000,923.00000,782.00000,808.00000,1042.00000,527.00000,902.00000,497.00000,439.00000,116.00000
6.00000,2161.00000,54.00000,104.00000,793.00000,1208.00000,1278.00000,1521.00000,1492.00000,1201.00000,468.00000,833.00000,458.00000,352.00000,120.00000
4.00000,4624.00000,67.00000,154.00000,793.00000,2187.00000,2674.00000,2580.00000,2518.00000,1483.00000,440.00000,892.00000,412.00000,352.00000,120.00000
4.00000,3510.00000,92.00000,263.00000,1785.00000,2748.00000,2676.00000,3010.00000,3021.00000,1645.00000,442.00000,954.00000,404.00000,311.00000,120.00000
4.00000,3858.00000,79.00000,303.00000,2178.00000,3329.00000,3588.00000,3680.00000,3572.00000,1800.00000,464.00000,1032.00000,427.00000,315.00000,120.00000
4.00000,4779.00000,101.00000,332.00000,2224.00000,4326.00000,4652.00000,4660.00000,4330.00000,1932.00000,460.00000,1088.00000,446.00000,349.00000,120.00000
6.00000,2161.00000,54.00000,98.00000,439.00000,1159.00000,1208.00000,1492.00000,1363.00000,1219.00000,501.00000,854.00000,467.00000,398.00000,120.00000
6.00000,2161.00000,55.00000,108.00000,1823.00000,891.00000,1000.00000,1062.00000,1208.00000,1202.00000,562.00000,899.00000,483.00000,329.00000,120.00000
6.00000,2161.00000,66.00000,186.00000,994.00000,1473.00000,1262.00000,1834.00000,1692.00000,1355.00000,493.00000,873.00000,459.00000,340.00000,120.00000
4.00000,2633.00000,173.00000,603.00000,5605.00000,5724.00000,5572.00000,5979.00000,5382.00000,2051.00000,455.00000,1146.00000,445.00000,268.00000,116.00000
4.00000,2895.00000,142.00000,467.00000,4426.00000,4781.00000,4508.00000,5143.00000,4771.00000,2013.00000,445.00000,1088.00000,426.00000,274.00000,116.00000
4.00000,3605.00000,121.00000,377.00000,3852.00000,4433.00000,5340.00000,4794.00000,4430.00000,1881.00000,457.00000,1110.00000,434.00000,307.00000,116.00000
4.00000,3128.00000,168.00000,582.00000,4416.00000,5525.00000,4840.00000,5802.00000,5299.00000,2049.00000,470.00000,1088.00000,437.00000,295.00000,116.00000
6.00000,2161.00000,51.00000,108.00000,593.00000,1221.00000,1224.00000,1656.00000,1532.00000,1316.00000,493.00000,866.00000,458.00000,365.00000,120.00000
6.00000,3867.00000,46.00000,99.00000,1520.00000,1230.00000,1990.00000,1658.00000,1576.00000,1289.00000,419.00000,878.00000,399.00000,351.00000,120.00000
4.00000,3777.00000,151.00000,478.00000,4570.00000,5022.00000,5328.00000,5521.00000,4933.00000,2025.00000,460.00000,1108.00000,434.00000,294.00000,120.00000
4.00000,3278.00000,143.00000,475.00000,3425.00000,4071.00000,3904.00000,4470.00000,4334.00000,1981.00000,458.00000,1078.00000,421.00000,275.00000,117.00000
