DATE,pixels,km2
18/12/2018,"36,935.68",14.77427
28/12/2018,"133,527.09",53.41084
07/01/2019,"189,078.73",75.63149
17/01/2019,"45,610.92",18.24437
18/03/2019,"12,437.60",4.975038
23/03/2019,"4,413.97",1.765588
05/08/2019,"196,835.41",78.73416
25/08/2019,"64,056.45",25.62258
19/09/2019,"116,495.04",46.59802
04/10/2019,"135,302.71",54.12108
07/01/2020,"515,926.82",206.3707
11/02/2020,"423,096.77",169.2387
31/05/2020,"424,754.75",169.9019
25/06/2020,"311,522.31",124.6089
05/07/2020,"281,617.13",112.6469
13/09/2020,"37,965.97",15.18639
22/12/2020,"224,908.29",89.96332
15/02/2021,"180,170.07",72.06803
10/06/2021,"222,444.31",88.97773
04/08/2021,"38,796.51",15.5186
13/09/2021,"19,015.12",7.606047
23/09/2021,"11,743.80",4.697518
22/12/2021,"3,365.65",1.346259
26/01/2022,62.576,0.02503
07/03/2022,31.106,0.012442
