DATE,pixels,km2
18/12/2018,"369,060.85",147.62
28/12/2018,"337,888.60",135.16
07/01/2019,"361,734.62",144.69
17/01/2019,"247,064.04",98.83
18/03/2019,"127,095.95",50.84
23/03/2019,"114,261.88",45.70
05/08/2019,"43,617.72",17.45
25/08/2019,"38,611.23",15.44
19/09/2019,"41,360.52",16.54
04/10/2019,"43,966.67",17.59
07/01/2020,"36,617.97",14.65
11/02/2020,"30,407.66",12.16
31/05/2020,"48,505.04",19.40
25/06/2020,"66,016.89",26.41
05/07/2020,"65,224.26",26.09
13/09/2020,"63,127.77",25.25
22/12/2020,"27,816.99",11.13
15/02/2021,"22,437.89",8.98
10/06/2021,"16,322.97",6.53
04/08/2021,"19,109.77",7.64
13/09/2021,"15,631.84",6.25
23/09/2021,"13,632.08",5.45
22/12/2021,"22,201.74",8.88
26/01/2022,"13,653.43",5.46
07/03/2022,"11,966.72",4.79
