Month step,km2_MAX,km2_MEAN
15/01/2018,2.2582932,0.000
31/01/2018,2.2397853,0.000
15/02/2018,1.7197619,0.000
28/02/2018,1.2221455,0.000
15/03/2018,3.3811066,0.000
31/03/2018,8.4644367,0.000
15/04/2018,9.359355,0.000
30/04/2018,16.024155,29.671
15/05/2018,18.170419,0.000
31/05/2018,23.708505,29.628
15/06/2018,20.121914,0.000
30/06/2018,18.866699,92.416
15/07/2018,56.121899,97.543
31/07/2018,72.784813,57.778
15/08/2018,68.181396,0.000
31/08/2018,93.921293,139.412
15/09/2018,73.398874,127.761
30/09/2018,85.738792,0.000
15/10/2018,83.497178,93.941
31/10/2018,104.42165,70.605
15/11/2018,83.334278,166.957
30/11/2018,91.136769,103.892
15/12/2018,228.58739,0.000
31/12/2018,164.68547,144.226
15/01/2019,44.961209,0.000
31/01/2019,72.638143,66.676
15/02/2019,46.394761,0.000
28/02/2019,54.941905,64.698
15/03/2019,16.627052,0.000
31/03/2019,61.001051,0.000
15/04/2019,12.829125,0.000
30/04/2019,69.972701,0.000
15/05/2019,29.907856,39.465
31/05/2019,35.640737,28.628
15/06/2019,21.794047,30.194
30/06/2019,14.011267,0.000
15/07/2019,10.926177,18.168
31/07/2019,10.070244,18.420
15/08/2019,8.9629844,19.385
31/08/2019,4.6743258,0.000
15/09/2019,12.385954,16.294
30/09/2019,11.291371,0.000
15/10/2019,15.017188,16.658
31/10/2019,13.982992,15.380
15/11/2019,11.153065,15.822
30/11/2019,9.8598957,15.637
15/12/2019,4.3744065,19.400
31/12/2019,9.4771934,15.128
15/01/2020,10.058542,15.218
31/01/2020,18.461503,16.884
15/02/2020,9.2532239,0.000
28/02/2020,14.891619,18.022
15/03/2020,10.781142,19.144
31/03/2020,20.236838,20.130
15/04/2020,15.471979,19.675
30/04/2020,31.897355,15.036
15/05/2020,35.014641,0.000
31/05/2020,27.462508,0.000
15/06/2020,26.326073,18.355
30/06/2020,35.749678,21.110
15/07/2020,42.70657,34.567
31/07/2020,28.717729,26.300
15/08/2020,83.481281,24.988
31/08/2020,81.450446,0.000
15/09/2020,34.307433,24.832
30/09/2020,14.940255,36.623
15/10/2020,51.054106,27.046
31/10/2020,25.629798,26.888
15/11/2020,12.301195,27.800
30/11/2020,12.456043,0.000
15/12/2020,12.303189,15.833
31/12/2020,54.995617,0.000
15/01/2021,10.956393,11.584
31/01/2021,10.152992,10.058
15/02/2021,8.260871,10.748
28/02/2021,10.930126,0.000
15/03/2021,6.8225695,0.000
31/03/2021,13.026745,0.000
15/04/2021,67.294769,0.000
30/04/2021,15.27039,7.045
15/05/2021,14.987966,0.000
31/05/2021,9.533623,6.799
15/06/2021,8.2472513,6.867
30/06/2021,15.553775,0.000
15/07/2021,6.4446928,7.356
31/07/2021,6.8614995,0.000
15/08/2021,37.959282,0.000
31/08/2021,13.982982,0.000
15/09/2021,11.487143,8.595
30/09/2021,32.585921,0.000
15/10/2021,9.9426315,0.000
31/10/2021,5.1154548,9.699
15/11/2021,1.9564044,7.426
30/11/2021,7.6541868,10.655
15/12/2021,9.1061497,8.609
31/12/2021,4.5915721,11.952
