Date,Pixels,Km2
18/12/2018,"40,672.29",16.2689144
28/12/2018,"136,432.14",54.5728564
07/01/2019,"201,237.89",80.4951576
17/01/2019,"51,517.90",20.6071592
18/03/2019,"13,370.06",5.348022
23/03/2019,"6,690.36",2.6761444
05/08/2019,"201,445.24",80.5780972
25/08/2019,"66,332.42",26.5329664
19/09/2019,"121,810.03",48.7240124
04/10/2019,"144,271.58",57.708632
07/01/2020,"526,648.20",210.65928
11/02/2020,"420,179.46",168.071785
31/05/2020,"423,258.36",169.303344
25/06/2020,"315,470.29",126.188114
13/09/2020,"40,105.75",16.0423012
22/12/2020,"230,041.68",92.0166728
15/02/2021,"183,668.75",73.4675012
10/06/2021,"224,037.42",89.6149664
04/08/2021,"44,693.42",17.8773696
13/09/2021,"21,102.93",8.4411732
23/09/2021,"11,859.32",4.7437272
22/12/2021,"5,857.37",2.342946
