Date,pixels,km2
18/12/2018,"368,289.97",147.315989
28/12/2018,"339,258.04",135.703217
07/01/2019,"364,452.03",145.780811
17/01/2019,"246,349.28",98.5397112
18/03/2019,"126,056.63",50.4226508
23/03/2019,"112,277.92",44.9111672
05/08/2019,"41,943.58",16.7774304
25/08/2019,"37,332.93",14.9331732
19/09/2019,"36,295.88",14.5183512
04/10/2019,"32,221.71",12.888684
07/01/2020,"31,729.36",12.6917428
11/02/2020,"29,937.49",11.974996
31/05/2020,"47,849.73",19.1398916
25/06/2020,"65,105.01",26.0420032
13/09/2020,"61,847.02",24.7388096
22/12/2020,"24,522.59",9.8090352
15/02/2021,"21,388.75",8.5554996
10/06/2021,"15,232.97",6.0931892
04/08/2021,"18,382.55",7.353018
13/09/2021,"14,563.28",5.8253128
23/09/2021,"13,196.64",5.2786572
22/12/2021,"19,463.11",7.7852456
