Date,Pixels,Km2
18/12/2018,"369,138.71",147.655484
28/12/2018,"338,919.79",135.567917
07/01/2019,"353,591.82",141.436728
17/01/2019,"243,665.05",97.4660188
18/03/2019,"127,788.32",51.1153288
23/03/2019,"113,175.62",45.2702464
05/08/2019,"41,339.68",16.53587
25/08/2019,"37,781.42",15.1125664
19/09/2019,"37,697.50",15.0789992
04/10/2019,"36,973.11",14.789244
07/01/2020,"30,971.07",12.3884268
11/02/2020,"37,373",14.9492
31/05/2020,"54,183.55",21.6734212
25/06/2020,"65,602.24",26.2408972
13/09/2020,"62,138.81",24.8555248
22/12/2020,"25,333.88",10.1335512
15/02/2021,"21,137.84",8.4551356
10/06/2021,"17,307.16",6.9228628
04/08/2021,"14,351.79",5.7407152
13/09/2021,"14,621.88",5.8487528
23/09/2021,"14,529.74",5.8118964
22/12/2021,"21,186.19",8.4744752
