SCL,WVP,B12,B11,B09,B8A,B08,B07,B06,B05,B04,B03,B02,B01,AOT
,,2190,1610,945,865,842,783,740,705,665,560,490,443,550
4.00000,2490.00000,460.00000,1048.00000,3846.00000,3823.00000,3684.00000,3632.00000,2982.00000,983.00000,257.00000,569.00000,260.00000,173.00000,193.00000
4.00000,2386.00000,417.00000,996.00000,3564.00000,3372.00000,3228.00000,3282.00000,2760.00000,957.00000,317.00000,633.00000,312.00000,176.00000,203.00000
4.00000,2403.00000,447.00000,1070.00000,3961.00000,3925.00000,3828.00000,3756.00000,3073.00000,938.00000,256.00000,609.00000,254.00000,157.00000,204.00000
4.00000,2403.00000,386.00000,920.00000,3193.00000,3143.00000,3256.00000,3077.00000,2519.00000,901.00000,292.00000,594.00000,298.00000,193.00000,223.00000
4.00000,2315.00000,390.00000,932.00000,3395.00000,3329.00000,3570.00000,3145.00000,2576.00000,944.00000,269.00000,582.00000,296.00000,212.00000,234.00000
4.00000,2428.00000,414.00000,990.00000,3579.00000,3692.00000,3654.00000,3501.00000,2895.00000,913.00000,263.00000,577.00000,280.00000,206.00000,197.00000
4.00000,2465.00000,451.00000,943.00000,2917.00000,3199.00000,3060.00000,2953.00000,2426.00000,857.00000,288.00000,492.00000,237.00000,227.00000,179.00000
4.00000,2627.00000,441.00000,1034.00000,3461.00000,3757.00000,3560.00000,3718.00000,2985.00000,953.00000,268.00000,586.00000,273.00000,210.00000,184.00000
4.00000,2384.00000,413.00000,994.00000,3390.00000,3567.00000,3630.00000,3476.00000,2870.00000,936.00000,260.00000,571.00000,268.00000,211.00000,214.00000
4.00000,2338.00000,359.00000,814.00000,2826.00000,2801.00000,2612.00000,2724.00000,2358.00000,933.00000,342.00000,638.00000,339.00000,259.00000,176.00000
4.00000,2330.00000,359.00000,798.00000,2783.00000,2752.00000,2576.00000,2731.00000,2319.00000,934.00000,366.00000,642.00000,347.00000,251.00000,168.00000
4.00000,2403.00000,322.00000,730.00000,2483.00000,2382.00000,2584.00000,2413.00000,2050.00000,925.00000,381.00000,637.00000,338.00000,301.00000,171.00000
4.00000,2352.00000,334.00000,752.00000,2691.00000,2566.00000,2498.00000,2537.00000,2169.00000,934.00000,372.00000,682.00000,376.00000,278.00000,179.00000
4.00000,2530.00000,352.00000,782.00000,2375.00000,2652.00000,2634.00000,2671.00000,2289.00000,947.00000,355.00000,638.00000,365.00000,325.00000,180.00000
4.00000,3146.00000,503.00000,1033.00000,2584.00000,3155.00000,2918.00000,2898.00000,2338.00000,912.00000,316.00000,507.00000,294.00000,335.00000,166.00000
4.00000,2647.00000,332.00000,755.00000,2511.00000,2603.00000,2542.00000,2579.00000,2200.00000,930.00000,377.00000,669.00000,383.00000,321.00000,161.00000
4.00000,2346.00000,369.00000,837.00000,2783.00000,2901.00000,2766.00000,2842.00000,2423.00000,939.00000,336.00000,637.00000,324.00000,251.00000,167.00000
4.00000,2366.00000,375.00000,847.00000,2892.00000,2933.00000,2808.00000,2869.00000,2464.00000,934.00000,339.00000,608.00000,352.00000,256.00000,168.00000
4.00000,2346.00000,350.00000,782.00000,2702.00000,2634.00000,2514.00000,2635.00000,2234.00000,936.00000,385.00000,661.00000,391.00000,278.00000,193.00000
4.00000,2736.00000,400.00000,891.00000,2934.00000,3107.00000,3074.00000,2975.00000,2493.00000,914.00000,318.00000,535.00000,298.00000,264.00000,190.00000
4.00000,2582.00000,355.00000,797.00000,2711.00000,2748.00000,2676.00000,2697.00000,2303.00000,947.00000,340.00000,633.00000,354.00000,285.00000,180.00000
4.00000,2356.00000,380.00000,863.00000,3043.00000,3080.00000,3030.00000,2951.00000,2490.00000,950.00000,306.00000,574.00000,287.00000,232.00000,201.00000
4.00000,2425.00000,389.00000,897.00000,3056.00000,3149.00000,3166.00000,3094.00000,2586.00000,941.00000,290.00000,596.00000,302.00000,234.00000,204.00000
4.00000,2394.00000,378.00000,882.00000,3074.00000,3109.00000,2888.00000,3029.00000,2558.00000,939.00000,330.00000,622.00000,325.00000,235.00000,202.00000
4.00000,2502.00000,390.00000,879.00000,2281.00000,3077.00000,3040.00000,2970.00000,2549.00000,941.00000,315.00000,617.00000,310.00000,353.00000,199.00000
4.00000,2376.00000,389.00000,880.00000,3053.00000,3101.00000,3054.00000,3032.00000,2567.00000,944.00000,301.00000,607.00000,312.00000,236.00000,199.00000
4.00000,2346.00000,366.00000,831.00000,2398.00000,2929.00000,2814.00000,2868.00000,2429.00000,930.00000,333.00000,615.00000,321.00000,302.00000,201.00000
4.00000,2513.00000,373.00000,862.00000,2736.00000,3023.00000,2762.00000,2917.00000,2511.00000,953.00000,334.00000,616.00000,315.00000,270.00000,202.00000
4.00000,2437.00000,367.00000,824.00000,2804.00000,2968.00000,2732.00000,2786.00000,2427.00000,953.00000,348.00000,628.00000,348.00000,246.00000,200.00000
4.00000,2919.00000,467.00000,1030.00000,3091.00000,3589.00000,3332.00000,3367.00000,2638.00000,870.00000,271.00000,501.00000,239.00000,244.00000,203.00000
4.00000,2592.00000,351.00000,809.00000,2360.00000,2812.00000,2584.00000,2782.00000,2276.00000,951.00000,361.00000,642.00000,357.00000,327.00000,194.00000
4.00000,2421.00000,396.00000,903.00000,3061.00000,3188.00000,2910.00000,3066.00000,2651.00000,951.00000,323.00000,617.00000,309.00000,225.00000,202.00000
4.00000,2402.00000,365.00000,808.00000,2837.00000,2768.00000,2686.00000,2720.00000,2325.00000,946.00000,357.00000,619.00000,339.00000,248.00000,199.00000
4.00000,2372.00000,386.00000,883.00000,3089.00000,3099.00000,2954.00000,3026.00000,2563.00000,945.00000,313.00000,615.00000,319.00000,224.00000,200.00000
4.00000,3067.00000,330.00000,598.00000,1658.00000,1930.00000,2626.00000,2010.00000,1594.00000,868.00000,375.00000,508.00000,301.00000,410.00000,195.00000
4.00000,2996.00000,353.00000,763.00000,2300.00000,2643.00000,2540.00000,2589.00000,2287.00000,971.00000,362.00000,644.00000,363.00000,353.00000,206.00000
4.00000,3085.00000,376.00000,841.00000,1175.00000,3519.00000,3550.00000,3606.00000,2871.00000,935.00000,318.00000,595.00000,304.00000,488.00000,208.00000
4.00000,2461.00000,376.00000,830.00000,2843.00000,2899.00000,2742.00000,2777.00000,2402.00000,917.00000,360.00000,633.00000,342.00000,250.00000,197.00000
4.00000,3139.00000,256.00000,543.00000,1279.00000,2001.00000,1744.00000,1939.00000,1835.00000,941.00000,510.00000,757.00000,495.00000,434.00000,210.00000
4.00000,2694.00000,421.00000,923.00000,2550.00000,3295.00000,3450.00000,3120.00000,2672.00000,941.00000,287.00000,591.00000,271.00000,291.00000,204.00000
4.00000,2923.00000,408.00000,825.00000,2447.00000,2527.00000,2972.00000,2451.00000,2031.00000,915.00000,343.00000,522.00000,262.00000,324.00000,200.00000
4.00000,2670.00000,373.00000,779.00000,2400.00000,2610.00000,2900.00000,2477.00000,2125.00000,892.00000,308.00000,527.00000,281.00000,303.00000,200.00000
