year_month,maxtempC,maxtempF,mintempC,mintempF,avgtempC,avgtempF,rainMM,rainInches,rain_days,snow_cm,snow_days,maxwindspeedMiles,maxwindspeedKmph,avgwindspeedMiles,avgwindspeedKmph,avgwindgustMiles,avgwindgustKmph,visibilityKm,visibilityMiles,humidity,pressureMB,pressureInches,cloudcover,sun_hour,sun_days,uvindex
15/01/2009,33,91,18,64,26,80,1.1,0.04,0,0,0,9.7,15.6,5.9,9.4,9.3,15,10,6,51,1011.7,30.4,8,372,31,7
15/02/2009,35,94,17,63,28,82,6.2,0.24,0,0,0,9.3,14.9,5.8,9.3,9.2,14.9,10,6,48,1010.7,30.3,7,336,28,7
15/03/2009,35,95,19,66,28,83,49.5,1.95,2,0,0,8.3,13.4,5.1,8.2,8,12.8,10,6,49,1010.5,30.3,8,372,29,5
15/04/2009,29,84,18,64,24,75,345.8,13.61,19,0,0,7.4,11.8,3.6,5.7,5.6,8.9,9,5,82,1012.4,30.4,30,357,11,5
15/05/2009,26,79,17,63,23,73,448.8,17.67,21,0,0,5.8,9.4,3.3,5.4,5.4,8.6,8,5,87,1013.5,30.4,37,356,10,5
15/06/2009,27,81,16,61,23,73,82.6,3.25,22,0,0,6.4,10.2,3.7,6,6,9.7,8,5,85,1014.9,30.4,30,358,8,5
15/07/2009,26,78,16,61,22,71,104.6,4.12,6,0,0,5.7,9.1,3.5,5.7,5.6,9.1,9,5,82,1016,30.5,30,359,25,6
15/08/2009,28,83,18,64,24,75,120.3,4.74,8,0,0,5.6,9,3.6,5.8,5.7,9.2,9,5,78,1014.1,30.4,30,371,23,6
15/09/2009,30,86,18,65,25,77,66.2,2.61,7,0,0,5.8,9.3,3.5,5.7,5.7,9.2,10,6,71,1013.6,30.4,19,360,23,5
15/10/2009,30,86,18,65,25,77,103.9,4.09,6,0,0,6.4,10.4,3.9,6.3,6.4,10.3,10,5,71,1011.9,30.4,24,372,25,5
15/11/2009,30,86,17,63,25,77,65.7,2.59,2,0,0,7.1,11.4,4.2,6.8,7.1,11.5,10,5,69,1011.9,30.4,18,360,28,7
15/12/2009,29,84,17,63,24,75,251.3,9.89,10,0,0,7.9,12.6,4.6,7.4,7.5,12,9,5,72,1012.6,30.4,24,361,21,5
