SCL,WVP,B12,B11,B09,B8A,B08,B07,B06,B05,B04,B03,B02,B01,AOT
,,2190,1610,945,865,842,783,740,705,665,560,490,443,550
6.00000,2161.00000,48.00000,51.00000,87.00000,173.00000,221.00000,278.00000,287.00000,696.00000,752.00000,1028.00000,764.00000,587.00000,116.00000
6.00000,2161.00000,34.00000,50.00000,107.00000,166.00000,207.00000,274.00000,276.00000,679.00000,729.00000,996.00000,767.00000,587.00000,116.00000
6.00000,2161.00000,44.00000,62.00000,89.00000,186.00000,216.00000,278.00000,290.00000,692.00000,731.00000,1010.00000,763.00000,588.00000,116.00000
6.00000,2161.00000,44.00000,48.00000,86.00000,174.00000,207.00000,291.00000,289.00000,684.00000,739.00000,1021.00000,773.00000,586.00000,116.00000
6.00000,2161.00000,44.00000,55.00000,89.00000,163.00000,212.00000,269.00000,273.00000,674.00000,739.00000,1001.00000,783.00000,598.00000,116.00000
6.00000,2161.00000,53.00000,63.00000,89.00000,179.00000,225.00000,304.00000,306.00000,701.00000,773.00000,1026.00000,782.00000,599.00000,116.00000
6.00000,2161.00000,40.00000,58.00000,103.00000,172.00000,212.00000,277.00000,280.00000,682.00000,761.00000,1010.00000,775.00000,593.00000,116.00000
6.00000,2161.00000,44.00000,61.00000,111.00000,188.00000,238.00000,304.00000,309.00000,718.00000,772.00000,1026.00000,767.00000,595.00000,116.00000
6.00000,2161.00000,47.00000,52.00000,95.00000,177.00000,232.00000,306.00000,307.00000,709.00000,750.00000,1001.00000,771.00000,580.00000,116.00000
6.00000,2161.00000,40.00000,55.00000,111.00000,164.00000,221.00000,289.00000,288.00000,687.00000,747.00000,1004.00000,741.00000,584.00000,116.00000
6.00000,2161.00000,40.00000,54.00000,91.00000,173.00000,225.00000,299.00000,296.00000,697.00000,745.00000,1002.00000,756.00000,582.00000,116.00000
6.00000,2161.00000,40.00000,50.00000,89.00000,167.00000,228.00000,285.00000,287.00000,690.00000,753.00000,1008.00000,767.00000,580.00000,116.00000
6.00000,2161.00000,33.00000,45.00000,105.00000,178.00000,248.00000,317.00000,319.00000,775.00000,828.00000,1066.00000,793.00000,607.00000,116.00000
6.00000,2161.00000,44.00000,45.00000,88.00000,160.00000,219.00000,296.00000,304.00000,745.00000,808.00000,1050.00000,786.00000,602.00000,116.00000
6.00000,2161.00000,35.00000,45.00000,89.00000,163.00000,214.00000,291.00000,281.00000,741.00000,809.00000,1040.00000,793.00000,601.00000,116.00000
6.00000,2161.00000,43.00000,46.00000,89.00000,169.00000,229.00000,319.00000,313.00000,753.00000,806.00000,1050.00000,802.00000,608.00000,116.00000
6.00000,2161.00000,63.00000,72.00000,119.00000,198.00000,255.00000,322.00000,329.00000,751.00000,810.00000,1023.00000,784.00000,592.00000,116.00000
6.00000,2161.00000,64.00000,70.00000,98.00000,184.00000,231.00000,294.00000,299.00000,709.00000,708.00000,943.00000,722.00000,541.00000,120.00000
6.00000,2161.00000,75.00000,83.00000,133.00000,253.00000,346.00000,425.00000,411.00000,882.00000,833.00000,925.00000,683.00000,553.00000,120.00000
6.00000,2161.00000,81.00000,124.00000,736.00000,301.00000,358.00000,467.00000,455.00000,892.00000,890.00000,966.00000,752.00000,518.00000,120.00000
6.00000,2161.00000,62.00000,67.00000,103.00000,191.00000,247.00000,309.00000,308.00000,711.00000,683.00000,943.00000,725.00000,538.00000,120.00000
6.00000,2161.00000,51.00000,68.00000,125.00000,195.00000,237.00000,320.00000,307.00000,700.00000,723.00000,970.00000,727.00000,549.00000,120.00000
6.00000,2161.00000,55.00000,62.00000,92.00000,158.00000,211.00000,276.00000,278.00000,698.00000,747.00000,979.00000,780.00000,586.00000,120.00000
6.00000,2161.00000,46.00000,53.00000,96.00000,160.00000,233.00000,288.00000,276.00000,697.00000,778.00000,995.00000,747.00000,572.00000,120.00000
6.00000,2161.00000,56.00000,58.00000,104.00000,175.00000,227.00000,297.00000,298.00000,696.00000,781.00000,1008.00000,760.00000,578.00000,120.00000
6.00000,2161.00000,47.00000,50.00000,78.00000,133.00000,156.00000,197.00000,198.00000,475.00000,545.00000,879.00000,697.00000,525.00000,116.00000
6.00000,2161.00000,44.00000,46.00000,78.00000,127.00000,154.00000,213.00000,191.00000,496.00000,579.00000,881.00000,692.00000,533.00000,120.00000
6.00000,2161.00000,40.00000,47.00000,70.00000,108.00000,151.00000,199.00000,200.00000,478.00000,539.00000,878.00000,681.00000,516.00000,116.00000
6.00000,2161.00000,42.00000,45.00000,84.00000,132.00000,184.00000,233.00000,238.00000,553.00000,607.00000,932.00000,728.00000,548.00000,116.00000
6.00000,2161.00000,36.00000,47.00000,97.00000,134.00000,195.00000,242.00000,247.00000,587.00000,656.00000,951.00000,746.00000,563.00000,116.00000
6.00000,2161.00000,34.00000,50.00000,88.00000,163.00000,184.00000,247.00000,258.00000,596.00000,698.00000,970.00000,724.00000,564.00000,116.00000
6.00000,2161.00000,35.00000,55.00000,94.00000,151.00000,191.00000,255.00000,252.00000,616.00000,711.00000,982.00000,749.00000,571.00000,116.00000
6.00000,2161.00000,35.00000,48.00000,87.00000,131.00000,177.00000,221.00000,223.00000,544.00000,595.00000,932.00000,700.00000,547.00000,116.00000
6.00000,2161.00000,17.00000,44.00000,86.00000,141.00000,188.00000,233.00000,233.00000,572.00000,661.00000,960.00000,736.00000,560.00000,116.00000
6.00000,2161.00000,85.00000,97.00000,144.00000,312.00000,402.00000,500.00000,497.00000,1044.00000,1054.00000,1072.00000,762.00000,593.00000,150.00000
6.00000,2161.00000,77.00000,86.00000,145.00000,292.00000,389.00000,503.00000,500.00000,1044.00000,1060.00000,1074.00000,737.00000,586.00000,143.00000
6.00000,2161.00000,61.00000,93.00000,122.00000,315.00000,400.00000,493.00000,497.00000,1051.00000,1072.00000,1078.00000,767.00000,592.00000,140.00000
